Date,Comment Text,Type
"Unknown","Chắn kiểu gì","Top-level"
"Unknown","Ui troi. Bay cả cái o tô","Top-level"
"Unknown","Yen Nguyen ô tô lật luôn","Top-level"
"Unknown","Nhiều người nghĩ gần núi đc cản gió nhiều ...chứ thực tế gió nó đi vòng còn mạnh hơn..gặp như trong clip thì gió đi rồi gió lại về","Top-level"
"Unknown","Nammoadidaphat","Top-level"
"Unknown","khổ","Top-level"
"Unknown","Siêu Bão Giáp Thìn Chu Kỳ 60 Năm","Top-level"
"Unknown","Cái ô tô nó ghép vào hay sao í, tự nhiên trong video chả thấy nó chạy vào, mà tự nhiên đùng cái xuất hiện","Top-level"
"Unknown","Sao ko thấy ông phật sống nào giúp dân tai qua nạn khỏi nhỉ","Top-level"
"Unknown","Thằng chúa dê cụ ở đâu khi thiên tai ập xuống nhỉ","Top-level"
"Unknown","Thương quá","Top-level"
"Unknown","Xe Nhật à
đúng hàng Nhật chất lượng tôn di động","Top-level"
"Unknown","Tụi mày nên tu nhiều vào","Top-level"
"Unknown","Ai bị vậy ib m nhé.","Top-level"
"Unknown",".","Top-level"
"Unknown","nam mô a di đà phật nam mô bổn sư thích ca mâu ni phật cầu mong moi người bình an","Top-level"
"Unknown","Lên 3 vàng thỉnh chư tiên ngay","Top-level"
"Unknown","Phật chúa đâu rồi, sao ko kêu bão rút đi chứ","Top-level"
"Unknown","Trắng lưỡi đa số đều hôi miệng,số ít lợn cợn đắng chát,hoặc kiểu rát nhẹ,nổi gai lưỡi,ăn cay nóng đau rát...","Top-level"
"Unknown","Nam mô aididàlat","Top-level"
"Unknown","Sao ko gọi thăng trọc thái díu nó kêu chư thiên giúp cho","Top-level"
"Unknown","Kkkkk","Top-level"
"Unknown","Chấp làm gì cái loại này bạn.","Top-level"
"Unknown","Nguyễn Ngọc chi vi vác mõm đi chối xa ma cha me bi chửi lây khổ","Top-level"
"Unknown","dã man","Top-level"
"Unknown",".b","Top-level"
"Unknown","Có điềm báo trước","Top-level"
